height weight IQ limbo GPA T1 T2
151.15 43.2 111.56 3.95 3.07 78.43 76.78
140.05 37.29 103.78 5.41 3.25 73 72.09
159.08 47.82 98.28 5.36 3.59 73.95 74.14
155.98 42.14 106.28 5.09 3.11 70.1 70.12
141.72 37.88 125.1 1.82 3.84 84.61 77.01
167.12 48.88 91.5 2.66 2.73 62.34 57.82
167.87 48.04 105.78 3.5 3.09 73.4 69.61
156.31 46.42 116.11 4.63 4.22 69.67 78.89
155.96 49.93 98.66 6.1 3.26 69.68 70.98
158.7 46.62 104.16 4.9 3.24 73.19 67.51
159.2 46.52 110.66 2.86 3.71 73.51 74.55
157.06 45.43 99.65 4.52 3.23 68.47 65.24
146.55 45.99 113.96 9.58 3.2 75.71 67.85
145.75 42.29 112.89 5.4 4.38 73.73 82.51
165.54 47.1 106.38 4.32 3.12 68.3 73.8
148.33 40.77 94.66 7.25 2.72 53.31 53.64
164.57 50.04 116.33 5.02 2.94 83.74 76.83
154.88 48.55 103.58 4.3 2.79 62.36 65.39
149.94 41.8 93.37 5.01 2.67 57.77 59.42
161.06 49.16 100.41 3.2 3.66 72.51 79.94
155.39 43.05 83.97 4.88 3.38 60.8 66.59
156.33 42.31 103.97 4.28 3.08 75.35 65.45
138.34 35.07 96.22 5.58 2.33 65.28 59.6
140.54 38.85 86.83 4.47 3.32 72.32 75.76
156.8 44.35 119.54 6.96 2.81 69.73 59.1
158.35 44.32 101.11 7.61 3.43 65.88 67.72
144.12 42 76.28 8.06 2.27 63.14 55.4
154.99 43.93 81.54 6.08 2.99 48.18 54.37
152.11 44.89 89 2.32 3.42 60.76 61.41
155.64 41.63 89.35 3.75 2.82 49.77 48.2
140.63 41.16 121.15 9.06 3.08 87.16 76.49
143.27 43.87 79.44 9.64 3.11 66.64 67.53
153.14 43.21 61.35 2.84 2.35 48.75 42.81
155.14 44.02 105.64 4.14 3.13 69.96 68.38
152 42.08 116.72 5.48 3.9 79.82 82.86
150.66 39.41 106.63 7.51 2.97 70.8 61.15
157.78 44.78 100.23 6.33 3.56 77.68 80.21
142.25 42.71 92.18 7.66 3.14 72.37 77.75
135.42 36.88 83.04 5.87 3.06 58.61 65.41
142.76 38.56 97.12 6.31 2.99 69.14 66.56
146.87 40.79 106.12 6.95 4.14 77.34 81.37
146.96 42.54 113.05 6.17 3.87 90.22 94.65
149.43 38.95 97.24 7.53 2.93 58 52.28
152.73 42.62 111.1 4.53 3.83 83.78 85.45
159.88 45.68 96.51 4.79 2.66 67.23 65.73
161.89 42.18 79.32 1.94 3.3 55.36 65.66
143.84 37.07 96.27 5.63 2.73 65.95 64.74
155.24 44.59 94.33 4.44 3.2 75.94 77.66
159.31 47.91 118.02 4.01 3.04 84.77 76.35
141.94 39.44 107.08 6.91 3.07 67.64 61.33
153.84 45.38 83.15 4.75 3.17 71.32 72.37
159.64 43.69 105.12 5.38 3 75.47 67.84
148.43 42.66 110.5 5.2 3.81 91.72 86.55
148.33 43.11 108.47 7.94 2.42 74.34 62.83
148.8 39.32 97.73 5.4 3.04 67.8 64.2
155.36 42.79 114.86 7.65 3.27 71.41 64.52
149.89 43.18 83.99 5.11 3.25 63.58 74.99
154.6 40.8 86.81 4.29 2.82 64.67 68.35
152.9 44.35 92.38 3.84 3.42 67.58 63.53
149.14 43.85 75.24 7.07 3.16 54.98 69.3
